EDUC_LEVEL,FAM_NO,AREA,WT_CROP,WT_IR_YN,WT_WA_CN_YN,WT_WA_RC,WT_GW,WT_PS,WT_SY_YN,WT_CR_YL_KG,WT_VL_CC,WT_SM_ST,WT_CP_NI_MN,SM_CROP,SM_IR_YN,SM_IR_WA_Y,SM_IR_TC,SM_GW,SM_PS,SM_CR_YL_KG,SM_CP_NI_MN,SM_VL_CC,SM_SM_ST,SM_RAIN_YN,CSM_AGR_YN,FL_USE,CR_RT_YN,SOIL_PROB,CA_YN,CA_CNS,CA_US_YN,CA_SS,CA_US_DT,CA_CC_VUL,CA_CC_RISK,CA_CC_ADAP,CA_CC_IMP,CA_CC_SS,NDVI_CV,PRECIPITAT,TEMPERATUR
secondary,2,2,Wheat,no,yes,Low,30,Aphids (Pest),No,40,Medium vulnerable,Low,8000,Peanut,Yes,Based on experience,Yes,30,...,8,15000,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Nothing,Yes(Rarely),Lack of machinery,Yes,Winter,Often,Medium vulnerable,Drought,Crop diversification,Water stress,Through apps,19.10810093,113.2681891,1.781563116
postgraduate,3,2,Wheat,no,no,Low,120,Armyworms (Pest),Yes,5000,Highly vulnerable,Medium,7000,Maize,Yes,Based on experience,Yes,120,"Ver blanc (hanneton sp.), helminthosporiose",15000,4500,Medium vulnerable,Low,No,No,Subsistence/domestic use,Yes,Salinity,Yes(Rarely),Lack of machinery,Maybe,Winter,Never,highly vulnerable,Drought,Drought-resistant varieties,Lower yield,From mosque,36.35393157,92.52450898,2.182101505
no-schooling,4,15,Wheat,yes,no,Medium,76,Cutworms (Pest),Yes,2400,Medium vulnerable,Dry,6800,Maize,Yes,Based on experience,No,76,Helminthosporium turcicum,5000,9100,Medium vulnerable,Dry,No,No,Selling in the market,No,Salinity,No,Lack of machinery,No idea,Winter,Never,Not aware,Drought,Improving irrigation practices,Water stress,Through apps,33.57119455,115.796712,1.860574432
no-schooling,9,15,Wheat,yes,no,Medium,120,Chickweed (Weed),No,3000,Medium vulnerable,Medium,24000,Maize,Yes,Based on experience,No,120,Fall Armyworm (Spodoptera frugiperda),14000,14000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Strong winds,Improving irrigation practices,Dust,From mosque,17.41303531,113.04813,1.339539563
primary,6,10,Wheat,yes,yes,Medium,100,Chickweed (Weed),No,25000,Medium vulnerable,Medium,9300,Maize,Yes,Based on experience,Yes,90,Nematodes,14000,14000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Erosion,No,Lack of knowledge,Maybe,Summer,Never,Medium vulnerable,Heatwaves,Improving irrigation practices,Dust,From mosque,18.90230664,83.01681478,2.334759981
no-schooling,9,20,Wheat,no,yes,High,49,Rust (Disease),No,10500,Highly vulnerable,Medium,8619,Chickpea,Yes,Based on experience,No,49,Puceron ,800,12460,Highly vulnerable,Dry,No,No,Selling in the market,No,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Water stress,TV,43.10227523,111.4076713,1.561743088
primary,5,15,Barley,yes,yes,Medium,120,Aphids (Pest),No,8000,Medium vulnerable,Dry,3600,Sorghum,Yes,Based on experience,No,100,Blight ,5500,10500,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Salinity,Yes(Rarely),Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Pests and diseases (due to climate change),Improving irrigation practices,Increased pests/diseases,TV,17.98027823,112.6302422,1.441039158
secondary,4,3,Rye,yes,no,Low,100,Henbit (Weed),Yes,1800,Medium vulnerable,Medium,19600,Maize,Yes,Based on crop water need,Yes,100,Panicum repens,2000,11000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Nothing,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Heatwaves,Improving irrigation practices,Dust,TV,22.78666514,73.25761164,2.252265516
primary,2,2,Fababean,yes,yes,Medium,90,Wild Oats (Weed),Yes,500,Medium vulnerable,Dry,1680,Maize,Yes,Based on experience,Yes,5,L' amarante,6,96,Medium vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Nothing,No,Lack of machinery,Yes,Winter,Never,highly vulnerable,Drought,Improving irrigation practices,Increased pests/diseases,TV,30.08832114,100.5444248,2.49432607
secondary,55,15,Lentil,yes,yes,High,95,Aphids (Pest),Yes,1500,Medium vulnerable,Dry,18000,Maize,Yes,Based on experience,Yes,90,Foxtail (Setaria spp.),1600,24000,Medium vulnerable,Dry,Yes (Rarely),Yes,Subsistence/domestic use,Yes,Salinity,Yes(Rarely),No finance,Maybe,Summer,Sometimes,Medium vulnerable,Pests and diseases (due to climate change),Improving irrigation practices,Dust,Through apps,26.74868884,112.6302422,1.441039158
no-schooling,11,2,Fababean,yes,no,High,99,Aphids (Pest),No,3000,Medium vulnerable,Low,20000,Sorghum,Yes,Based on experience,No,120,Weeds ,16000,22000,Medium vulnerable,Low,Yes (Rarely),No,Subsistence/domestic use,Yes,Salinity,Yes(Rarely),Lack of machinery,Maybe,Summer,Sometimes,Medium vulnerable,Strong winds,Improving irrigation practices,Dust,From mosque,25.96591226,112.6302422,1.441039158
